Bike,Stars,Title,Review,Time,Design and styling,Reliability,Comfort,Service experience,Value for money,Used it for,Ridden for,Ridden for if owned,Owned for,Tips for other riders,Review was useful,Review was not useful
Bajaj Pulsar NS125,2,Worst engine Only looks it hold ..,"The buying experience is not good. The only pros are its looks and the sitting position is good. Performance wise horrible as per the price point, gear shifting is not smooth, clutch is light which is good. I started facing engine knocking and missing within 6 months of purchase. The rpm issue is there not resolved by their technicians just bad service experience I had.",1 year ago,3,2,4,1,2,Daily Commute,5000-10000 kms,5000-15000 kms,> 1 yr,No Tips,29,15
Bajaj Pulsar NS125,4,It's a good to ride bike,"I was on the hunt for a new bike that would provide me with comfort, performance, and style. After extensive research, I decided to invest in the ns 125. It is worth the money/riding experience is good but little bit of discomfort for the pillion on long rides/The looks are top /the service is average/ pros =looks, value for money. Cons are Pillion discomfort.",36 weeks ago,5,4,4,3,4,Daily Commute,< 5000 kms,0-5000 kms,< 3 months,"Get service when necessary,ride safe.",18,4
Bajaj Pulsar NS125,5,"Mileage, looks, perfomance -anythig else?","1. The buying experience was very good, I was not sure about this before the buy, and now NS125.2. Comfortable for long rides.3. Killer Look and killer performance.4. Service cost is a little high, but not all the time.5. overall good concept.in my opinion, it is a beast, not like 160 but in this budget, u can feel the value for money concept.",48 weeks ago,5,4,4,4,4,Daily Commute,5000-10000 kms,5000-15000 kms,> 1 yr,No Tips,17,3
Bajaj Pulsar NS125,4,Nice looking,"Superb bike. It is very good and buying experience too.Riding experience is nice. Details about looks, performance etc is awesome.Servicing and maintenance buying experience is good too.",2 years ago,5,5,5,5,5,Daily Commute,< 5000 kms,0-5000 kms,< 3 months,More maintenance cost,22,9
Bajaj Pulsar NS125,3,Honest review as a college going teenager,"1. Had to visit the dealership thrice due to covid guidelines2. It's a bike for daily commute but you will definitely feel the lack of power and disc brakes at the rear. The drum brakes does its job but it doesn't stop instantly and the tire skids a lot3. Looks are as similar to the elder 160 and 200 but in terms of power it's way behind. The gear pull sucks. You can't even ride at a speed of 20kmph in the 1st gear.  The acceleration is very slow and top speed i reached was 113kmph. But definitely has lack of power and gear ranges are very low. And the tyres are very thin and u won't feel the confidence.4. Servicing and maintenance is low and cheap5. Pros- has a good mileage of 45km+ if you ride normally. Great looks at a affordable price.. Low maintenance. Lightweight.Cons- lower gear range, very less power, slow acceleration, rear drum brakes aren't upto the mark, has a lot of vibrationsOverall- you can go for this bike if you're tight on your budget and doesn't want to spend a lot in fuel and do not care about power,  but most advisable is to go for ns200 or ns160.",2 years ago,3,3,1,2,4,Daily Commute,5000-10000 kms,5000-15000 kms,6 months-1 yr,"Have a regular service advised by the company, and always have it done in the authorized service center",22,9
Bajaj Pulsar NS125,5,Ns125 opinion,"Nice bike, it's good for ride in city and long ride also good mileage 50 it's giving now. If you ride this ns125 you will feel like ns200 bike.  I'm happy to get it. Ns125 looks also nice. About the speed check it's 100 km/l highest but it's good to ride up to 100km/l . Friends once you ride this and only buy if you are satisfied or else go for other bike.",2 years ago,5,5,5,5,4,Everything,< 5000 kms,0-5000 kms,6 months-1 yr,Change the oil as per the instructions.,20,7
Bajaj Pulsar NS125,4,Most good looking bike under 125 segment,Everything is great about this bike But still I'll give pros n consPros:*good mileage*great looks*best performance at 125cc*reliable bike for city *maintenance is goodCons:*little vibrations are there at high speed * pillion seat is not that comfortable*price is slightly on higher side as compared to other 125 cc bikes* have to clean and lube my bikes chain every 500kms,2 years ago,4,3,5,3,3,Daily Commute,< 5000 kms,0-5000 kms,< 3 months,If you want good mileage you have to ride at constant speed under 50,18,5
Bajaj Pulsar NS125,5,Must ride bike.,"I don't own this bike, but I have rode this bike several times. The riding experience is very good as it has a good riding posture design. I never feel exhausted riding this bike. This bike doesn't look 125cc bike from any angle, it looks like a 200cc bike from its looks. I will strongly recommend everyone this bike.",38 weeks ago,5,4,4,4,5,Daily Commute,Never Owned,No Data,Never owned,No Tips,14,1
Bajaj Pulsar NS125,5,Good average and design on front,"Very good experience till now good mileage in city 49km/hr very good look and design I have purchased for the little family and I enjoyed. Performance wise very good and I appreciate to bajaj to discover a new model and give it to the customer, good service against their products and happy to customer.",2 years ago,5,5,5,4,5,Daily Commute,< 5000 kms,0-5000 kms,< 3 months,No Tips,17,5
Bajaj Pulsar NS125,2,Bajaj Pulsar NS125,"The ns125 design is average but the inside parts are somewhat not better for riding. There is a problem with the gearbox and the price is affordable. It's better to continue at 5000 to 7500 rpm, service cost below 700",47 weeks ago,3,3,2,3,4,Everything,> 15000 kms,15000+ kms,> 1 yr,Check the brake disc and pad after completing 8500 kms,16,4
Bajaj Pulsar NS125,5,Best Looking Bike,This is the best-looking bike in the 125cc segment I am sure for more details please take a test drive it is free of cost don't think too much just go and take it. On road price in Madhya Pradesh is Rs.130000 approx maybe higher or lower than mine. No problem with Emi; it is very easy this is the perfect bike for the new generation according to my personal experience,47 weeks ago,5,4,4,5,4,Everything,< 5000 kms,0-5000 kms,< 3 months,Best for teenagers,20,9
Bajaj Pulsar NS125,5,Got More Than Expected,The bike has a good pickup and can take you to 100+ in less than 30 seconds Top End is about 115-116 kmph which is far better than Raider 125 for a 125 CC Engine The back seat is a little uncomfortable for the partner but it doesn't matter if you ride it solo or alonelooks are very aggressive and service is very cheap,33 weeks ago,5,5,4,4,5,Daily Commute,5000-10000 kms,5000-15000 kms,> 1 yr,ride it decently if you want mileage otherwise it gives 35km range which is also okay,13,2
Bajaj Pulsar NS125,3,Pulsar ns 125 engine overheating issue.,This motorcycle looks best in its segment. Other than seating comfort is also good enough for riders and pillion-seaters. Service and maintenance cost is attractive. The weight into power ratio is very high due for this reason bike's acceleration pulls down. Front braking is good enough rear braking is a little downside. Engine performance is highly not satisfied as it is overheating while riding 5-10kms at mid-speed 60-65kmph and its smells like burning. Headlights are not visible as much. Thank you.,2 years ago,5,4,3,4,3,Daily Commute,5000-10000 kms,5000-15000 kms,3-6 months,No Tips,26,16
Bajaj Pulsar NS125,5,My experience about ns 125,I bought ns 125 and over about 6 to 7 months good experience when bought the showroom members good nice and polite and riding this bike is so cool nice pickup and also mileage is so good I get about 50 to 55 mileage next look is as same as ns 200 and it's quality is also good service and maintenance is low of cost and easy to maintain its good to use and some needs to be updated like rear brake system and overall this bike is superb.,2 years ago,5,5,5,5,5,Everything,> 15000 kms,15000+ kms,6 months-1 yr,No Tips,24,14
Bajaj Pulsar NS125,4,Bajaj Pulsar NS125 review.,"1) Buying experience was good. 2) Riding experience was good in this segment. 3) Awesome look with road presence and performance is good. Not best because considering its price its not a match. Better choice is to go with pulsar 150 neon which comes with similar price may be Rs. 5000-6000/- extra.4) Bajaj servicing is always good. 5) PROS :- Super looks, good road presence, super mono shock in this segment, better ground clearance ,under belly silencer like ns series.6) CONS :- Average mileage. Heavy weight in its segment, high price,lack of initial pickup, better option to go for pulsar 125 bs6 split seat or go for pulsar 150 neon which is comfortable for any middle class family boys.",3 years ago,5,4,5,4,2,Daily Commute,< 5000 kms,0-5000 kms,< 3 months,Ride slowly and service from time to time.,22,12
Bajaj Pulsar NS125,5,Better than other vehicles,"Looks good compared to other vehicles and has better build quality. Overall, vehicle build quality is good and maintenance charges are less than other vehicles. Better to buy this vehicle for daily commutes and long runs. Mileage is also good for daily commutes. Ground clearance is so good that you go for a long ride",1 year ago,4,5,5,5,5,Daily Commute,Never Owned,No Data,Never owned,Service every 3000,16,6
Bajaj Pulsar NS125,5,Blow your mind,"1. Buying Experience: The buying experience for the Pulsar NS125 is generally smooth and positive. Bajaj Auto has a wide dealership network across India, ensuring availability and ease of purchase. Many customers have reported friendly and helpful dealership staff who provide comprehensive information about the bike. The price point is considered reasonable for the features offered, making it an attractive option for budget-conscious buyers.2. Riding ExperienceThe Pulsar NS125 is known for its agile and sporty riding experience. With a 124.45 cc single-cylinder engine, it delivers a power output of 11.99 bhp and 11 Nm of torque, which is adequate for city commuting and occasional highway rides. The bike's lightweight (144 kg) and balanced design make it easy to handle, especially for new riders. The suspension setup—telescopic forks at the front and a mono-shock at the rear—provides a comfortable ride over various terrains. The braking system, featuring a 240 mm front disc and a 130 mm rear drum, ensures confident stopping power.3. Details about Looks, Performance, etc.Looks: The Pulsar NS125 carries the aggressive and sporty design language of the NS series. It features sharp tank extensions, a split seat, and an underbelly exhaust, giving it a distinctive and muscular look. The color options and graphics enhance its visual appeal.Performance: While it is not the most powerful bike in its segment, the NS125 offers a good balance between performance and fuel efficiency. It can reach a top speed of around 105 km/h, and the acceleration is smooth, making it suitable for both city and occasional highway rides.Mileage: The bike offers a mileage of around 45-50 km/l, which is quite commendable for its segment.4. Servicing and Maintenance: Bajaj has an extensive service network, which makes servicing and maintenance relatively hassle-free. The NS125 requires regular maintenance like any other bike, including oil changes, chain lubrication, and periodic checks. Parts availability is good, and the cost of spares is reasonable. Many users appreciate the reliability of Bajaj service centers, though experiences can vary based on location.5. Pros and ConsPros: Affordable: Competitive pricing for the features offered. Design: Attractive and sporty aesthetics. Handling: Lightweight and easy to maneuver. Fuel Efficiency: Good mileage for daily commuting.Service Network: Extensive and reliable service network.Cons: Power: May feel underpowered for riders seeking high performance. Braking: The rear drum brake might be seen as a downside by some. Build Quality: Some users report minor issues with build quality and finishing. Comfort: The seat might feel hard during long rides. Overall, the Pulsar NS125 is a well-rounded motorcycle that offers good value for money, especially for new riders and those looking for an economical commuter with sporty looks.",17 weeks ago,5,5,5,5,5,Everything,> 15000 kms,15000+ kms,> 1 yr,Maintaining the bike costs shortly but if you can't maintain then the bike becomes scrap,15,5
Bajaj Pulsar NS125,4,Good looking and powerful,"1. **Buying Experience**: The buying experience for the NS 125 was smooth and hassle-free.2. **Riding Experience**: The NS 125 offers an exhilarating riding experience. With its powerful engine and nimble handling, it's a joy to ride on both city streets and highways. The bike feels stable and responsive, making it easy to manoeuvre through traffic or take on winding roads.3. **Details about Looks, Performance, etc.**: The NS 125 boasts a sleek and aggressive design that turns heads wherever you go. Its sporty fairings and sharp lines give it a modern and dynamic appearance. Performance-wise, the bike delivers impressive power and acceleration, thanks to its robust engine and efficient transmission. The digital instrument cluster provides all the essential information at a glance, enhancing the overall riding experience.4. **Servicing and Maintenance**: Servicing and maintenance for the NS 125 are relatively straightforward and affordable. Regular maintenance tasks such as oil changes and filter replacements can be easily done by any certified mechanic, keeping upkeep costs manageable. Additionally, the availability of spare parts is good, ensuring minimal downtime in case of repairs or replacements.5. **Pros and Cons**:   - **Pros**:     - Powerful engine for its class     - Agile handling and responsive performance     - Eye-catching design     - Affordable pricing     - Easy maintenance   - **Cons**:     - Limited features compared to higher-end models     - Suspension could be slightly stiffer for better handling at higher speeds     - Seat may feel uncomfortable on longer rides for some ridersOverall, the NS 125 is a great choice for riders looking for a stylish and reliable bike with impressive performance capabilities at an affordable price point.",28 weeks ago,4,4,3,3,4,Daily Commute,5000-10000 kms,5000-15000 kms,> 1 yr,Clean bike chain regularly which gives the best riding experience.,14,4
Bajaj Pulsar NS125,5,Ns 125 best bike.,"Ns 125 best bike & powerful in 125 segments, sports feel, when I did 90-118 speed rides Don't think there is anything less, no vibration no wobbling, and the handling is very nice.",1 year ago,5,5,5,5,5,Daily Commute,5000-10000 kms,5000-15000 kms,6 months-1 yr,I will say one thing anything is better if taken care of & maintained from time to time.,10,0
Bajaj Pulsar NS125,1,Worst experience,Worst experience ever. This bike stops automatically after 25 -30 km. I am fed of this bike. I use this bike for a daily ride but it has started to irritate me by stopping like a passenger bus. I don't like this bike anymore. I have to wait approximately 30 minutes then it starts again. All my money has been wasted.,2 years ago,5,1,3,5,4,Daily Commute,< 5000 kms,0-5000 kms,6 months-1 yr,No Tips,32,23
Bajaj Pulsar NS125,5,I like Bajaj pulsar Bikes and my favorite bike is Bajaj pulsar NS 125,"I bought Bajaj Pulsar NS 125 about 6 to 7 months ago. Good experience when bought from the showroom. Members were good, nice, and polite, and riding this bike is so cool nice pickup, and also mileage is so good. I get about 50 to 55 kmpl mileage. The look is as same as Bajaj Pulsar NS 200 and its quality is also good. Service and maintenance are low of cost",1 year ago,5,5,5,5,4,Daily Commute,> 15000 kms,15000+ kms,> 1 yr,15000km,14,5
Bajaj Pulsar NS125,4,Ns125,"I have ridden 15000 kms till now I am satisfied with this bike and good mileage, low maintenance And good pickup and it will give you more comfortable riding and you will be satisfied with this bike riding experience and it looks very decent looks and service cost is also very less and low maintenance.",18 weeks ago,4,4,4,4,4,Daily Commute,> 15000 kms,15000+ kms,> 1 yr,Change oil for every 2500 kilometres and use tubeless tyres only.,9,0
Bajaj Pulsar NS125,4,Best bike under !.5 lakh,"Best sports super bike under 1.5 lakh . The overall design is 10/10 . The performance is 9/10. The brakes of ns 125 which I like most . This bike is 125 cc but is a big competitor of 150-160 cc bikes. The pickup of the pulsar ns 125 is very satisfying . Overall I give 9 out of 10. Good ride for long drive, I do not feel back pain for long drive. So I think this bike is born for only for long drive.",3 years ago,No Design Rating,No Reliability Rating,No Comfort Rating,No Service Experience,No Value Rating,Everything,< 5000 kms,0-5000 kms,< 3 months,No Tips,23,15
Bajaj Pulsar NS125,5,Super bike,"Pulsar ns 125. First of all I would like to be very thankful to Bajaj. Great performance with mileage. .Its a very comfortable bike, heavy balance featuring. Its better for long drives. I drove 180 km at one time at speed 90km/h its last speed is 118/h, its body colour is so good, none of the bike that we can compare with pulsar. Best in comfort best in look",2 years ago,4,5,5,5,No Value Rating,Everything,< 5000 kms,0-5000 kms,< 3 months,No Tips,16,8
Bajaj Pulsar NS125,5,Value for money,The best bike and value for its look are very good and low service charge and overall performance are good. This bike has city milage of 45 kmpl and highway mileage is 48 -50 kmpl. Overall bike's looks engine and build Quilty are very good and its top speed is 115  this bike is better for a rider at 125 and seat comfort is very good.,37 weeks ago,5,5,5,5,4,Everything,> 15000 kms,15000+ kms,> 1 yr,2500,14,6
Bajaj Pulsar NS125,5,Overall details what you want,"Buying experience:- I always wanted a bike which can give me decent mileage along with good speed, I waited for long but I found this bike when my Jee exam was about to end and exactly after the completion of my Jee exam I bought this . I chose orange colour as it looks like ktm duke from far, I bought it at 1,15,000rs , earlier I speed up the bike to 80 but then I realized about running period, then maintained it , it gives me mileage of 56 km/l , and the comfort is little bit not that good , the orange colour will make eyes upon you, it is the good bike for college students, I know it lacks some modern things but most of those can be completed from external with little money . Servicing is not costly, they will help you thoroughly.Pros:- 1)good mileage(56km/l)             (better mileage than most of                scooty's)           2)good pickup           3)heavyweight gives you feeling.              that you want as a sport biker           4)headlight is awesome           5)wolf design is eye catching           6)good for college studentsCons:-            1)no changes in the design , but              it's ok            2) lack of modern things            3) price is little more , but too             better when you see ktm            4)halogen light lamp            5) no digital gear shift display            6) not that much comfortable",2 years ago,5,5,5,4,4,Daily Commute,< 5000 kms,0-5000 kms,< 3 months,"Ensure that you ride bike in running period in set limits , this will help for better life of your engine, don't speed up unnecessarily , fill good quality premium petrol",12,4
Bajaj Pulsar NS125,5,Best amazing bike for long tours and off-road trip,I bought this bike in December which is very beautiful like sports design. Great driving experience in this bike. Excellent mileage and I am using this bike for long tours like off-road trips. And some days I ride this bike around 187 km. And one day I ride this bike for about 202 km and 85 kmph on highway and hill road with no overheating problem in engine optimization.Thank you Bajaj India. Best bike for the price. Best mileage experience. Best driving experience. And the great riding on this bike is very smooth and the sports type design is also very impressive.,1 year ago,3,5,4,5,4,Everything,< 5000 kms,0-5000 kms,6 months-1 yr,Change engine oil and change engine oil filter on time and change the air filter on time,9,1
Bajaj Pulsar NS125,5,sk samim ali,"1. The buying experience was easy & smooth.2. The riding experience is amazing & outstanding. riding feeling much more fun.3. Looks outstanding & Attracting & performance is outstanding.4. Servicing and maintenance very low & easy. middle-class people are much more satisfied & helpful.5. Pros are mileage, bike handling, pickup, power, top speed, smooth engine, and sound.6. Cons are rear tyre size is too thick. no led indicator. build quality is poor.",1 year ago,5,3,5,5,4,Everything,5000-10000 kms,5000-15000 kms,6 months-1 yr,No Tips,9,1
Bajaj Pulsar NS125,1,About mileage experience,"First of thing this bike is so expensive in my region show room charging 1,20,000 for this bike why one should choose this?? no abs is present in it riding experience is good for rider but pillion seat is not so much good . Braking system does not work quickly as there is disk present in front wheel and drum present in last wheel looks are good but mileage is worst only 35 km/l is getting i think it's better to purchase scooty instead of this shit.",3 years ago,5,5,2,4,1,Everything,< 5000 kms,0-5000 kms,< 3 months,No Tips,84,77
Bajaj Pulsar NS125,5,Review.,First of all the buying experience was very smooth. If somebody is looking for a sporty bike with good mileage then NS 125 will be the best option. It does not cost too much for maintenance and also provides around about 50KMPL. I have already ridden over 17000 KM and haven't faced any major issues as of now.,1 year ago,5,5,4,5,4,Daily Commute,> 15000 kms,15000+ kms,> 1 yr,Try to change the engine oil on time and also clean the driving sprocket.,16,9
Bajaj Pulsar NS125,5,Pulsar is a lion,My bike is very precious to me it will give me great mileage or a dashing personality and it's very comfortable to ride it and a long driveway to drive once a kilometre it's controlling system is also very good for cutting or a lean a Full bike and it's cheap too... Buying that bike you also should.,18 weeks ago,5,5,5,5,4,Daily Commute,> 15000 kms,15000+ kms,> 1 yr,Change oil after 3000 kilometres and ... Check the tyre air pressure.,15,8
Bajaj Pulsar NS125,5,Sporty look bike,Easy to buy no more extra document only an Aadhar card and pan card is used for buying.Sporty look at the low-segment bike. One con is the bike's rear brake is very low no more satisfying on the rear brake. Please improve the rear brack. And add ABS on this bike. Performance wise I was impressed with this bike very highly recommended bike for younger batch boys.,1 year ago,5,5,4,5,5,Daily Commute,10000-15000 kms,5000-15000 kms,> 1 yr,No Tips,13,6
Bajaj Pulsar NS125,4,Maintainance easy,"I have not buy  ns125 but my brother purchased this bike he used it for 1 and a half month. Pulsar 125 ride is more smooth. Bike pickup is better then normal pulsar 125 and mileage is okay. Bike looks same to same as 160 and 200 cc but little bit changes, are there. First service is little bit expensive and easy to maintain. Its not a big heavy at 144 kgBike is okay but back tyre size not given 120 section this is minus point and atleast given  single channel abs but not given.",2 years ago,4,4,4,4,3,Tours,< 5000 kms,0-5000 kms,< 3 months,Chain cleaning and engine oil change after every 3000 km don't neglected,9,2
Bajaj Pulsar NS125,5,Bajaj Pulsar NS125 review,"I was so happy with this bike. Excellent performance, great speed and getting a great comfort while riding. The design of the bike is naked, it's quite powerful as it's got the ktm engine, liquid cooled, which gets its epic performance and i get around 45 to 50 kmph average, it's reliable and comfort as well.",2 years ago,5,5,5,5,5,Leisure Rides,Never Owned,No Data,Never owned,No Tips,22,16
Bajaj Pulsar NS125,4,Pulsar review my experience,"1.When I turned to this bike the showroom agents were very fast making every move, so got my hands on this really fast. 2. Riding is really good sporty riding is really enjoyable and exiting with great control, long rides are also good likely to 300 km at one time taking rest for some time make it easy to 1000 kilometers (road condition matters) commuting also great good mileage and clean working 3. Looks are aggressive performs better than 150 and 180 pulsars4.Maintanance is a little tricky as it has been working daily to 100 km so brake pads and shocks are to be adjusted at each services not much costly actually around 200rs5. Combination break is not good but great breaking actually many accidents were avoided because of its brakes Headlamp is not bright as we need a little brighter Bike is good on city, highway, villages and race tracks but not as good as at off roads but guttery roads should be avoided.Bike is made in quality but a little more precision in symmetry is to be taken as most parts like visors are loose. Pros : great performance accelerationGreat brakeGood control Good balanceFlickableGood mileage of 55+",2 years ago,5,4,5,4,4,Everything,5000-10000 kms,5000-15000 kms,6 months-1 yr,"washing is required daily
check for rusty bolts
always check for brakes 
check any undesired sounds 
check vibrations",15,9
Bajaj Pulsar NS125,5,A pearl in the sea,"I brought bajaj pulsar ns125 in June 2021It's been more than 1 year riding this bike.I have taken this bike on long routes. Short routes. I did long tours with this bike. It never cheated once.The looks are killer.Performancea1 service and maintenance are less than other sports bike.You won't get this kind of bike in this price range anywhere.Cons are that it looks similar to other ns .If you take care of bike, the bike will take care of you.Loved it.",1 year ago,4,4,4,5,4,Tours,5000-10000 kms,5000-15000 kms,> 1 yr,No Tips,12,6
Bajaj Pulsar NS125,4,Better Build quality with Best road presence with the trust form Bajaj,"This bike comes under NS series so no doubts about the looks of the bike. Its weight helps in good road presence riding experience is amazing, good comfort and ultimately good mileage. Along with the performance and handling it also have a less maintenance charges so its a quite pocket friendly it would have been better if company should have offered ABS, Gear shift indicator.",1 year ago,5,4,4,4,4,Everything,> 15000 kms,15000+ kms,> 1 yr,No Tips,9,3
Bajaj Pulsar NS125,5,Budget and stylish design,It is within budget and has a very great experience in riding using daily college going having low maintenance cost mileage is very good with 50kmpl at-least only con is its height issue for my small height friends which is not actually its cons. Overall I just love this bike I bought black colour bike as black is my favorite.,1 year ago,5,5,5,5,5,Everything,< 5000 kms,0-5000 kms,> 1 yr,No Tips,15,10
Bajaj Pulsar NS125,5,Osm bike,"Osm experience, superb looking bike, good mileage, good speed, The build quality is also good and the bike feels sturdy and durable. The engine of the ns 125 is smooth and powerful. It delivers decent performance for city riding and occasional highway trips. The bike also has good fuel efficiency and gives me around avg. 45 kmpl in city.",38 weeks ago,5,5,5,5,5,Everything,5000-10000 kms,5000-15000 kms,3-6 months,No Tips,7,3
Bajaj Pulsar NS125,5,THE BEAST IN 125cc VARIENT,"1. Buying Experience:- Quite decent as they gave the delivery the very next day and so on and all the buying experience was good P.S. I've bought from NAMDHARI BAJAJ TELIBAGH OUTLET.2. Riding Experience:- Out of the world yes in a 125cc variant it feels like you are riding not less than a 160cc bike. Yeah, its pick-up is quite decent in comparison to the Honda SP 125 but once it charged up no other 125cc variant is near this beast.3. Looks and Performance: I can't express as I've fallen in love just in the first place  and performance-wise amazing just amazing 4. Service and Maintenance:- Dude it's Bajaj one of the cheapest companies in serving the nation with the best machine around.5. Pros. And Cons. :- Pros- 1. Feels like riding a 160cc to 180cc bike.2. Mileage is the most important thing for me having ridden it for a year and a half and now also it gives a bare minimum of 45kmpl.Cons. - Ghanta.... There's not a single con to share from my side.So If you are planning for a 125cc with some sporty looks just don't think twice and go for this beast NS 125.",6 weeks ago,5,5,4,5,5,Everything,10000-15000 kms,5000-15000 kms,> 1 yr,No Tips,4,0
Bajaj Pulsar NS125,5,Ns125 is little beast,1. Buying experience was nice and excellent2. According to 125 cc this bike has power from 125cc bike 3. Looks similar to ns 200 or a little bit duke1254. Service and maintenance rate is low 5. In the city this bike gives 49 kmpl average at on highway this give 51 kmpl6. On-road pressence people always observe you on road with this bike.,2 years ago,5,5,5,4,5,Daily Commute,5000-10000 kms,5000-15000 kms,< 3 months,No Tips,13,10
Bajaj Pulsar NS125,5,Its like a sports bike.,"Bajaj pulsar ns 125 is excellent, its budget is also reasonable. You can buy this as the best bike under budget. It is good to use and needs some updating like the rear braking system, overall this bike is the best in class. This bike has such a good pickup and the mileage is also good. My experience is 5 out of 5-star rating. The look is so cool. Well, bajaj ns 125 is made specifically for youth who cannot or don't want to invest money on higher cc bikes such as duke200, ns 200 etc. For design. The people who love ns 200 and 160s design will definitely love ns 125 irrespective of its power. However ns 125 is a lower cc bike there will be a lot drop of in power and torque comparatively ns 200&160.",1 year ago,4,4,4,4,4,Leisure Rides,< 5000 kms,0-5000 kms,< 3 months,No Tips,11,8
Bajaj Pulsar NS125,5,Good bike under 1.20 lakh,"Excellent bike in 125 cc I love it you should go for it, best mileage maintenance cost is also good.Sporty design good for you father anyone in your family you should go for it now and orange and grey option is good, it is good for city ride and highway ride best computer bike it is very good to go for it. Thank you.",2 years ago,5,5,5,5,5,Everything,> 15000 kms,15000+ kms,> 1 yr,No Tips,10,7
Bajaj Pulsar NS125,5,Excellent,"1 this is the best bike under 125 cc.2 riding experience was very smooth and very good.3 performance next level torque, very nice design very good looking same as pulsar 160 and pulsar 200 ns.4 servicing is almost good but the price some high and the maintenance is average.5 I am riding 5000 kilometers and 2 servicing.So good performance.",1 year ago,4,4,4,5,4,Daily Commute,5000-10000 kms,5000-15000 kms,6 months-1 yr,"Yes, oil changed 300 km and had good performance.",5,2
Bajaj Pulsar NS125,4,NS125,Buying experience is that easy process.Riding experience is very good compared to other 125cc bikes. Very very nice and beautiful looking and performing there is no computation in other bikes between this and other bikes that have very good performance.Servicing is very low costed and easy maintenance.Good pros and cons.,19 weeks ago,5,4,4,5,5,Daily Commute,5000-10000 kms,5000-15000 kms,3-6 months,Change the oil according to the time given by the ex-showroom service centre given time.,4,1
Bajaj Pulsar NS125,4,42 km/l mileage,"Riding experience was awesome. You would feel very smooth while riding, Although a bit uneasy with neutral, but you will learn to handle when you will start neutralizing it when its engine is off. Mileage seems issue as its 42km/litre in delhi which seems odd for a new bike. But overall experience is nice. Was a bit rough, but this bike can be  managed. No gps.",2 years ago,4,4,4,4,4,Daily Commute,< 5000 kms,0-5000 kms,3-6 months,No Tips,15,13
Bajaj Pulsar NS125,5,Better Then TVS Raider.,"I am using this beautiful bike since 3 months and after first service it becomes better. it's looks are of a attention seeker and make you look twice, plus mileage is about 50 to 55 km/l according to riding styles. It's better then TVS Raider in terms of performance and styling. Yes of course TVS wins in terms of features but segment king is no doubt NS125. Buying experience is good as well as the servicing experience too, Bajaj has done a great job.",2 years ago,5,5,4,4,4,Daily Commute,< 5000 kms,0-5000 kms,3-6 months,Just clean chain frequently.,9,7
Bajaj Pulsar NS125,5,Review,"Excellent, comfortable for riding no back pain, I love this bike also good mileage from 50 to 55 I love this so much I never saw this type of bike in 125 cc bike range I love this bajaj bikes in ns good mileage in city and highway in highway stability is good and also no pain in the highway as well as the city.",2 years ago,5,5,5,5,5,Leisure Rides,< 5000 kms,0-5000 kms,< 3 months,No Tips,9,7
Bajaj Pulsar NS125,4,Thunder ns125,So basically my buying experience was overall good though. My riding experience is just excellent as we cannot expect the power ratio in this segment compared to other brands. Talking about the looks it gives you a very aggressive look performance is above average.The servicing experience was excellent and the maintenance cost is not a big deal.,19 weeks ago,5,5,5,5,5,Daily Commute,10000-15000 kms,5000-15000 kms,6 months-1 yr,No Tips,4,2
Bajaj Pulsar NS125,5,Excellent,Buying experience was good. Riding is good. Looks great and stylish. Service time could be better and maintenance costs are affordable. Rear breaks could be also disc. Otherwise overall performance is good. Looks are eye catching. Mileage is good. Sporty look makes it King of its segment. It's reliable.,2 years ago,5,5,4,5,3,Everything,< 5000 kms,0-5000 kms,< 3 months,No Tips,3,1
Bajaj Pulsar NS125,5,"I  just used with care and neat . Because it's my gift from my mom now iam seeking for money , that's why iam selling it .","My buying experience is nice. Riding this gives a high feeling of happiness. The looks of the bike are awesome. I just spent 5000 rupees on this bike    Pros: it has enough features to enjoy bike riding. Cons: it doesn't have features like a charging port, digital meter, Bluetooth, etc.., thank u",5 weeks ago,5,5,5,5,5,Leisure Rides,> 15000 kms,15000+ kms,> 1 yr,Change engine oil to keep bike healthy . Maintain tubeless tyres.,3,1
Bajaj Pulsar NS125,5,Bajaj Pulsar NS125,1. First of all I bought buying in December 2023 and my bike performing smoothly and I'm very happy with the Bajaj bike I love it bajaj bikes.2. My riding experience is much smoother. 3. This looks like a beast and aggressive. 4. The service fee is affordable and reliable. 5. Prons is a bike this price best and cons bike does not have a quick starter.,1 week ago,5,5,5,5,5,Everything,5000-10000 kms,5000-15000 kms,6 months-1 yr,This bike is so Georges and bike looks like a beast.,2,0
